listing_id,price_eur,mileage_km,age_years,make,model,predicted_price_eur,pi_lower_eur,pi_upper_eur,bargain,bargain_score
199,20480,50300.0,5.0,audi,a3,24207.977489107492,18952.347652890927,29463.60732532405,0,0.15399789143000134
236,23630,14712.0,3.0,audi,a3,28578.56935705226,23317.569426661386,33839.56928744313,0,0.17315665088851323
318,24950,64920.0,4.0,audi,a3,24703.192613840525,19450.393004155692,29955.992223525343,0,0.0
447,33900,25217.0,1.0,audi,a3,30545.851089244898,25287.811370844684,35803.890807645104,0,0.0
452,36900,100.0,0.0,audi,a3,33112.971597970776,27849.83678766938,38376.10640827217,0,0.0
518,24990,92000.0,4.0,audi,a3,23291.229008170085,18035.837848699866,28546.62016764028,0,0.0
539,5999,150000.0,16.0,audi,a3,5176.978969730157,-125.16541340079857,10479.12335286109,0,0.0
607,24970,33446.0,2.0,audi,a3,28859.278637112904,23603.305578313,34115.251695912804,0,0.13476700807452993
610,25490,11347.0,1.0,audi,a3,31269.039243257048,26009.012080129585,36529.0664063845,1,0.1848166551680432
646,38920,7140.0,1.0,audi,a3,31488.39415053384,26227.446883012064,36749.341418055614,0,0.0
690,12990,158904.0,9.0,audi,a3,13515.28068700551,8250.535529296934,18780.02584471405,0,0.038865688339758266
282,18499,209636.0,4.0,audi,a3,17157.6340777178,11820.494390630914,22494.773764804624,0,0.0
286,23745,109745.0,4.0,audi,a3,22365.996578974296,17105.586597402136,27626.406560546427,0,0.0
287,23850,77016.0,3.0,audi,a3,25330.01025484801,20074.538352947813,30585.482156748185,0,0.05842912181864376
296,28900,79670.0,3.0,audi,a3,25191.629479019008,19935.672894615716,30447.586063422277,0,0.0
307,22300,55000.0,5.0,audi,a3,23962.917335981532,18708.26486487424,29217.56980708881,0,0.0693954459995811
328,20490,85790.0,4.0,audi,a3,23615.02125304503,18360.765875026955,28869.276631063076,0,0.13233192634294474
430,26500,86371.0,2.0,audi,a3,26099.74489154023,20837.6091125182,31361.880670562234,0,0.0
443,32900,21800.0,1.0,audi,a3,30724.015034613283,25465.634772088164,35982.39529713839,0,0.0
488,16990,121880.0,4.0,audi,a3,21733.272119786307,16467.920397771486,26998.62384180109,0,0.2182493318835298
515,24950,28368.0,2.0,audi,a3,29124.04788340517,23867.435989250982,34380.65977755935,0,0.14331963400539297
544,12599,50900.0,11.0,audi,a3,16631.641480265687,11332.883174080453,21930.39978645093,0,0.24246803810980577
547,13980,101400.0,8.0,audi,a3,17771.074212601718,12514.980030426788,23027.168394776625,0,0.213328365367661
694,13949,103716.0,7.0,audi,a3,18907.82553394365,13653.652365509903,24161.99870237738,0,0.2622631314765139
232,22710,61800.0,3.0,audi,a3,26123.379465478785,20869.55066193595,31377.208269021605,0,0.13066377839779336
245,24980,36230.0,3.0,audi,a3,27456.610979400248,22201.185262530376,32712.036696270105,0,0.09020089847426413
293,26895,92332.0,3.0,audi,a3,24531.426998406045,19272.348868449364,29790.50512836269,0,0.0
322,6950,188000.0,14.0,audi,a3,5710.658806135914,428.9022021976607,10992.415410074125,0,0.0
345,16920,99623.0,4.0,audi,a3,22893.76229598302,17636.53680458073,28150.98778738528,1,0.2609340578779044
359,22990,102000.0,6.0,audi,a3,20254.807182392797,15001.037166204325,25508.57719858124,0,0.0
385,5900,194000.0,17.0,audi,a3,1625.2901904771388,-3677.308797800739,6927.88917875498,0,0.0
417,23850,49000.0,5.0,audi,a3,24275.760084652975,19019.8273585695,29531.692810736437,0,0.017538486258238253
524,29950,57580.0,1.0,audi,a3,28858.429443369256,23598.779693730765,34118.07919300772,0,0.0
595,22999,46000.0,5.0,audi,a3,24432.181458988693,19175.495936748273,29688.866981229105,0,0.05865957820403383
623,26990,12702.0,1.0,audi,a3,31198.388922515413,25938.626679760222,36458.151165270596,0,0.1348912257285914
626,27880,11117.0,4.0,audi,a3,27508.505681635455,22242.680858208623,32774.330505062295,0,0.0
634,32990,4566.0,0.0,audi,a3,32880.112312043,27617.81920235396,38142.40542173204,0,0.0
680,8845,166726.0,15.0,audi,a3,5562.386289679511,274.09937193491714,10850.673207424083,0,0.0
298,29500,49916.0,3.0,audi,a3,26743.01666968069,21489.125334486725,31996.908004874636,0,0.0
321,26990,72600.0,6.0,audi,a3,21787.736650882856,16533.78062374743,27041.69267801827,0,0.0
337,41950,3921.0,0.0,audi,a3,32913.74290752518,27651.338510992246,38176.14730405811,0,0.0
420,24400,66340.0,3.0,audi,a3,25886.66178565073,20632.545236784907,31140.77833451653,0,0.057429644577610336
494,19990,98000.0,9.0,audi,a3,16690.84314785309,11430.583673965244,21951.102621740923,0,0.0
500,21000,76140.0,4.0,audi,a3,24118.176673824928,18865.046937429914,29371.306410219928,0,0.129287413223448
525,29990,20000.0,1.0,audi,a3,30817.867859214715,25559.26900216382,36076.466716265604,0,0.0268632425512584
526,29990,29989.0,1.0,audi,a3,30297.036823134877,25039.309521005107,35554.76412526464,0,0.01013421955840984
540,8990,135000.0,12.0,audi,a3,10989.120330725204,5718.287137635564,16259.953523814813,0,0.18191813999303763
594,22999,43419.0,5.0,audi,a3,24566.755981375525,19309.362726799616,29824.149235951427,0,0.06381615800490988
613,25890,20800.0,0.0,audi,a3,32033.6641150543,26773.028883721065,37294.299346387525,1,0.19178774220108868
621,26900,78675.0,3.0,audi,a3,25243.509234840356,19987.741252005893,30499.27721767479,0,0.0
640,34830,2176.0,0.0,audi,a3,33004.728006930454,27742.005142569684,38267.45087129122,0,0.0
251,27950,59000.0,3.0,audi,a3,26269.372748192123,21015.63551789787,31523.10997848636,0,0.0
294,26950,62853.0,4.0,audi,a3,24810.966940757837,19558.113342287343,30063.820539228316,0,0.0
326,19950,86605.0,4.0,audi,a3,23572.526779683823,18318.140702623943,28826.912856743682,0,0.15367579443396487
364,23875,90647.0,4.0,audi,a3,23361.775047995496,18106.658783988267,28616.891312002703,0,0.0
365,23890,111000.0,2.0,audi,a3,24815.577548702073,19542.616211028613,30088.538886375496,0,0.0372982473160486
461,10990,202000.0,11.0,audi,a3,8753.21825955655,3472.3013333487042,14034.135185764346,0,0.0
632,31990,7978.0,1.0,audi,a3,31444.700446636063,26183.948227583132,36705.45266568899,0,0.0
682,9950,219322.0,10.0,audi,a3,9107.549866471207,3813.0244377646522,14402.075295177707,0,0.0
203,21990,98027.0,3.0,audi,a3,24234.487089458733,18973.569218618133,29495.404960299296,0,0.09261541542734018
231,22410,29600.0,4.0,audi,a3,26544.79359435308,21286.164943784905,31803.422244921254,0,0.15576665079937488
249,27850,85932.0,3.0,audi,a3,24865.125930322247,19607.792737477706,30122.45912316676,0,0.0
264,25950,33000.0,4.0,audi,a3,26367.516036772595,21109.901468037642,31625.130605507547,0,0.015834484984870008
405,18900,108000.0,7.0,audi,a3,18684.455811392243,13430.022045127636,23938.889577656828,0,0.0
501,21490,83801.0,3.0,audi,a3,24976.23724655872,19719.409253638103,30233.06523947931,0,0.13958216412438437
521,26500,15000.0,1.0,audi,a3,31078.570149774252,25819.22217857636,36337.918120972136,0,0.14732241952281416
541,11590,152900.0,10.0,audi,a3,12570.823375180287,7307.220249822694,17834.426500537847,0,0.0780237973207718
560,16980,98460.0,7.0,audi,a3,19181.875781779836,13927.81279320456,24435.93877035509,0,0.11478938800507286
672,27990,54984.0,2.0,audi,a3,27736.277450298654,22480.619216528517,32991.935684068776,0,0.0
724,42850,11443.0,0.0,audi,a3,32521.542381607414,27260.220064831534,37782.864698383295,0,0.0
213,24990,57859.0,3.0,audi,a3,26328.86501089781,21075.14630298545,31582.583718810158,0,0.05085160375669972
288,23995,99978.0,4.0,audi,a3,22875.252433353293,17617.929704255817,28132.57516245074,0,0.0
303,53400,15.0,0.0,audi,a3,33117.403536910286,27854.25109418443,38380.55597963614,0,0.0
308,23000,110433.0,3.0,audi,a3,23587.632566122415,18321.772740280958,28853.492391963835,0,0.024912740372528868
327,19990,88464.0,5.0,audi,a3,22218.08904572468,16965.059462440717,27471.11862900862,0,0.10028265892441453
438,29500,22460.0,2.0,audi,a3,29432.093709930316,24174.46757954246,34689.71984031817,0,0.0
477,13999,137000.0,5.0,audi,a3,19687.39977080516,14420.107118035721,24954.692423574565,1,0.28893606250839704
586,22315,43774.0,1.0,audi,a3,29578.28060806224,24320.387469976173,34836.17374614829,1,0.24556128546844827
597,23760,60005.0,1.0,audi,a3,28731.98883244788,23471.866287160945,33992.11137773479,0,0.17304715178062677
693,13895,85564.0,10.0,audi,a3,16081.753262603655,10812.020138906428,21351.486386300872,0,0.1359772922078533
701,15995,141435.0,11.0,audi,a3,11911.105105104194,6645.8475456004035,17176.362664607957,0,0.0
311,11200,145072.0,11.0,audi,a3,11721.470258951187,6456.13440729298,16986.806110609366,0,0.044488468377331974
344,16790,127129.0,8.0,audi,a3,16429.552365840464,11172.34874972757,21686.755981953327,0,0.0
346,17250,193060.0,5.0,audi,a3,16764.40568905166,11456.37444793219,22072.43693017106,0,0.0
370,25290,64377.0,3.0,audi,a3,25989.0135049244,20735.042510987623,31242.98449886116,0,0.026896500122713492
411,22800,74000.0,4.0,audi,a3,24229.757254184413,18976.77170607529,29482.742802293513,0,0.05900831936471414
522,26790,33125.0,2.0,audi,a3,28876.015724166828,23620.00865920753,34132.02278912612,0,0.07224042763008352
616,25990,6714.0,1.0,audi,a3,31510.60598568951,26249.557320015865,36771.654651363155,1,0.17519834395430814
619,26740,6780.0,1.0,audi,a3,31507.164715454128,26246.131858393615,36768.19757251463,0,0.15130414807257647
658,27900,96500.0,8.0,audi,a3,18026.56245735006,12770.052608394613,23283.072306305494,0,0.0
674,29990,18762.0,1.0,audi,a3,30882.417746357256,25623.652845680495,36141.18264703401,0,0.028897275909122153
207,14950,127556.0,8.0,audi,a3,16407.28839022668,11150.019715304818,21664.557065148507,0,0.08881957551832528
244,24970,79900.0,4.0,audi,a3,23922.12855132416,18668.652759918492,29175.604342729806,0,0.0
290,25499,148284.0,3.0,audi,a3,21614.064086128623,16325.250989537853,26902.87718271935,0,0.0
368,24440,90893.0,2.0,audi,a3,25863.96573995819,20600.21995302778,31127.71152688857,0,0.05505597069973889
377,33178,19000.0,1.0,audi,a3,30870.008317326625,25611.276331178702,36128.74030347454,0,0.0
415,22900,112559.0,3.0,audi,a3,23476.7819521765,18209.94688780527,28743.617016547698,0,0.024568186276613124
577,20900,95604.0,5.0,audi,a3,21845.806174805664,16591.91111607226,27099.70123353904,0,0.04329463363528529
600,23990,21600.0,1.0,audi,a3,30734.443126235667,25476.039911248205,35992.84634122312,1,0.219442502944797
710,19999,100038.0,5.0,audi,a3,21614.615383537464,16359.968471297356,26869.262295777553,0,0.07474643221123334
220,13900,124132.0,11.0,audi,a3,12813.291451814519,7546.89545345419,18079.687450174824,0,0.0
297,28900,87215.0,3.0,audi,a3,24798.22972256467,19540.574096594977,30055.88534853433,0,0.0
403,18790,89804.0,5.0,audi,a3,22148.22083185472,16895.06129642156,27401.380367287857,0,0.1516248576962332
491,18990,50765.0,4.0,audi,a3,25441.24079841457,20187.356307698625,30695.125289130505,1,0.2535741416675162
527,29995,65000.0,4.0,audi,a3,24699.021377191573,19446.223139062542,29951.81961532059,0,0.0
535,3990,189245.0,21.0,audi,a3,-3156.816420517185,-8510.052097374279,2196.4192563398856,0,1.0
660,31900,27000.0,1.0,audi,a3,30452.884652431367,25194.98391913497,35710.78538572775,0,0.0
678,6995,154275.0,13.0,audi,a3,8726.604378289085,3451.4763845700836,14001.73237200806,0,0.19842819763860758
691,12999,191949.0,12.0,audi,a3,8019.773381710216,2743.1171640116254,13296.429599408755,0,0.0
219,32450,46339.0,1.0,audi,a3,29444.5403330052,24186.441199928355,34702.63946608202,0,0.0
235,23480,19970.0,3.0,audi,a3,28304.414828299854,23045.133373068053,33563.696283531644,0,0.1704474322315336
281,15850,170177.0,9.0,audi,a3,12927.501302709985,7658.534334871928,18196.468270547997,0,0.0
384,5500,176904.0,20.0,audi,a3,-1255.842404629031,-6599.523520505722,4087.8387112476457,0,1.0
400,17490,155000.0,5.0,audi,a3,18748.871524790837,13471.313712177713,24026.42933740392,0,0.0671438557315988
444,32900,21800.0,1.0,audi,a3,30724.015034613283,25465.634772088164,35982.39529713839,0,0.0
476,13995,82426.0,8.0,audi,a3,18760.38726481704,13501.568556382634,24019.20597325144,0,0.2540132672929401
382,42880,4608.0,0.0,audi,a3,32877.9224128023,27615.636429379418,38140.20839622518,0,0.0
392,14500,119680.0,7.0,audi,a3,18075.45526064517,12819.532010551804,23331.378510738505,0,0.19780720369626528
460,15000,80000.0,7.0,audi,a3,20144.388638525637,14888.883143393698,25399.894133657563,0,0.2553757639825874
511,23990,65252.0,4.0,audi,a3,24685.88198174737,19433.087714281333,29938.6762492134,0,0.02818947211454314
587,22490,39990.0,5.0,audi,a3,24745.545612241254,19487.126186540634,30003.965037941874,0,0.09114956071631208
603,24870,14450.0,2.0,audi,a3,29849.73877940669,24590.272409443514,35109.20514936986,0,0.16682687966576804
654,22800,61700.0,3.0,audi,a3,26128.593511289975,20874.769106650776,31382.41791592916,0,0.1273927549851359
686,12400,172870.0,7.0,audi,a3,15302.10429367284,10025.02631321265,20579.18227413298,0,0.1896539350390398
711,20350,141203.0,10.0,audi,a3,13180.710313715263,7918.756966890977,18442.66366053952,0,0.0
212,24490,82052.0,4.0,audi,a3,23809.922285467335,18556.195267910556,29063.649303024093,0,0.0
335,34990,14989.0,1.0,audi,a3,31079.143694813483,25819.79384554732,36338.49354407964,0,0.0
459,9500,194000.0,13.0,audi,a3,6655.324679793583,1376.0912204647566,11934.55813912236,0,0.0
519,25990,17487.0,1.0,audi,a3,30948.89683044994,25689.947550779278,36207.84611012059,0,0.16022854894042587
536,5490,200000.0,13.0,audi,a3,6342.48193112214,1061.4878035937481,11623.476058650485,0,0.13440825537697906
617,25990,104000.0,4.0,audi,a3,22665.5435108272,17407.04573349736,27924.041288157016,0,0.0
639,33990,7637.0,1.0,audi,a3,31462.48034285222,26201.649460943037,36723.311224761404,0,0.0
657,26900,39000.0,3.0,audi,a3,27312.181910430263,22057.193057629287,32567.170763231232,0,0.015091504288526092
671,55500,33000.0,3.0,audi,a3,27625.024659101706,22369.008611134213,32881.040707069194,0,0.0
681,8888,195726.0,18.0,audi,a3,277.7871374468814,-5034.326412813063,5589.9006877067895,0,0.0
689,12800,147161.0,10.0,audi,a3,12870.057464284524,7607.40638635824,18132.708542210778,0,0.005443446113503323
227,19690,135000.0,3.0,audi,a3,22306.697931687195,17027.286216891524,27586.109646482822,0,0.1173054810577819
243,24630,26305.0,3.0,audi,a3,27974.105026160923,22716.58804784601,33231.62200447583,0,0.11954287806646795
309,28900,33409.0,2.0,audi,a3,28861.207834063047,23605.23089943878,34117.18476868731,0,0.0
333,32985,7.0,0.0,audi,a3,33117.820660575184,27854.66655522605,38380.974765924315,0,0.0040105495448044095
352,21749,128450.0,6.0,audi,a3,18875.692065332856,13615.918709348472,24135.46542131721,0,0.0
358,22970,41172.0,3.0,audi,a3,27198.9328354112,21944.24170454374,32453.623966278654,0,0.1554815720529083
378,33980,39600.0,3.0,audi,a3,27280.89763556312,22025.994965973827,32535.8003051524,0,0.0
383,5500,176904.0,20.0,audi,a3,-1255.842404629031,-6599.523520505722,4087.8387112476457,0,1.0
441,31890,79900.0,1.0,audi,a3,27694.65441831149,22428.802593325996,32960.50624329696,0,0.0
445,32900,23000.0,1.0,audi,a3,30661.446484878994,25403.196923619365,35919.69604613861,0,0.0
453,36990,30463.0,3.0,audi,a3,27757.305001331613,22500.764206791067,33013.845795872156,0,0.0
487,16950,75300.0,8.0,audi,a3,19131.94016932249,13871.322196437297,24392.558142207676,0,0.11404698896252914
498,20995,65489.0,4.0,audi,a3,24673.524693174848,19420.73367555842,29926.31571079127,0,0.1490879288192009
550,14790,67133.0,11.0,audi,a3,15785.245423735101,10497.484554037348,21073.006293432853,0,0.06304909407608099
636,33410,5.0,0.0,audi,a3,33117.92494149141,27854.770420403096,38381.07946257972,0,0.0
709,19990,98438.0,9.0,audi,a3,16668.005627200077,11407.824434930093,21928.186819470044,0,0.0
247,25979,49150.0,3.0,audi,a3,26782.95626059441,21529.020396874614,32036.89212431419,0,0.03001745784789501
280,14850,123907.0,9.0,audi,a3,15340.040299547916,10081.65700874288,20598.42359035293,0,0.03194517680389393
336,36490,5774.0,1.0,audi,a3,31559.618016314704,26298.34025614132,36820.89577648809,0,0.0
349,19480,126174.0,3.0,audi,a3,22766.889614982887,17492.920982237025,28040.858247728705,0,0.14437148291085777
416,23821,59250.0,5.0,audi,a3,23741.320389005927,18487.392885997353,28995.247892014486,0,0.0
433,26900,62000.0,1.0,audi,a3,28627.968618514624,23367.420338157775,33888.51689887145,0,0.06035945622062374
481,14950,106805.0,7.0,audi,a3,18746.763658835975,13492.4180100808,24001.10930759112,0,0.20252901929802872
635,33410,5.0,0.0,audi,a3,33117.92494149141,27854.770420403096,38381.07946257972,0,0.0
699,14995,198037.0,9.0,audi,a3,11474.868139712256,6190.94926248982,16758.787016934642,0,0.0
700,15950,143038.0,12.0,audi,a3,10570.015328421694,5299.997704272526,15840.032952570833,0,0.0
702,16943,197948.0,5.0,audi,a3,16509.54312980066,11196.743163078245,21822.343096523007,0,0.0
714,23945,99501.0,5.0,audi,a3,21642.61480954356,16388.067693390858,26897.161925696233,0,0.0
205,22790,29327.0,4.0,audi,a3,26559.02793941763,21300.31368553984,31817.742193295417,0,0.14191136618459665
216,26995,33000.0,4.0,audi,a3,26367.516036772595,21109.901468037642,31625.130605507547,0,0.0
240,23889,43700.0,3.0,audi,a3,27067.121757304303,21812.727513808313,32321.51600080028,0,0.11741631732404864
342,14890,100000.0,10.0,audi,a3,15329.053609300165,10063.817916065465,20594.289302534853,0,0.02864192535890083
386,6700,105000.0,17.0,audi,a3,6265.7909624368585,923.3088150856329,11608.273109788077,0,0.0
387,8290,203440.0,12.0,audi,a3,7420.6273775462905,2139.5260275162564,12701.728727576274,0,0.0
423,24900,49685.0,3.0,audi,a3,26755.061115504537,21501.15686846806,32008.965362541,0,0.0693349608694981
470,5700,214700.0,13.0,audi,a3,5576.01719687711,289.4478650169067,10862.586528737258,0,0.0
484,15950,112000.0,6.0,audi,a3,19733.402601273723,14478.049363842641,24988.755838704776,0,0.19172581017677698
712,20950,167540.0,3.0,audi,a3,20610.047424725744,15305.041836867758,25915.053012583674,0,0.0
